Negócio - Negócio criado em,Negócio - Organização 2,Negócio - Novo cliente?,Negócio - Etapa,Negócio - Status,Negócio - Data de ganho,Negócio - Data de perda,Organização - Canal de Origem,Negócio - Data atualizada,Negócio - Data da Última Atividade
2021-04-05 13:58:09,Imobiliária 30,Não,05 - Acompanhamento,Perdido,,2021-04-26 17:03:31,Tipo D,2021-04-30 14:54:50,2021-04-26
2021-04-05 15:07:50,Imobiliária 42,Sim,05 - Acompanhamento,Perdido,,2021-07-23 15:58:21,Tipo D,2021-07-23 15:58:21,2021-05-03
2021-04-05 15:10:09,Imobiliária 42,Não,01 - Contato,Perdido,,2021-04-13 16:00:17,Tipo D,2021-04-30 14:59:10,2021-04-13
2021-04-05 16:31:16,Imobiliária 11,Não,05 - Acompanhamento,Perdido,,2021-04-20 15:33:39,Tipo D,2021-04-30 14:37:08,2021-04-15
2021-04-06 16:47:16,Imobiliária 17,Sim,04 - Pós-visita,Perdido,,2021-04-08 11:11:14,Tipo D,2021-04-30 14:51:20,2021-04-08
2021-04-07 12:14:37,Imobiliária 17,Não,05 - Acompanhamento,Perdido,,2021-07-23 15:57:49,Tipo D,2021-07-23 15:57:50,2021-05-04
2021-04-09 10:52:56,Imobiliária 8,Não,07 - Negociação,Perdido,,2021-05-19 18:25:08,Tipo A,2021-05-19 18:25:09,2021-05-04
2021-04-09 12:45:05,Imobiliária 11,Não,04 - Pós-visita,Perdido,,2021-04-12 14:11:01,Tipo D,2021-04-30 14:37:20,2021-04-12
2021-04-09 17:52:53,Imobiliária 74,Sim,05 - Acompanhamento,Perdido,,2021-04-22 16:30:53,Tipo C,2021-04-30 14:55:09,2021-04-22
2021-04-12 11:06:49,Imobiliária 3,Sim,01 - Contato,Perdido,,2021-07-23 15:48:03,Tipo B,2021-07-23 15:48:04,2021-04-28
2021-04-12 14:08:44,Imobiliária 76,Sim,03 - Visita Agendada,Perdido,,2021-04-22 14:06:54,Tipo A,2021-04-30 14:40:51,2021-04-22
2021-04-12 14:56:27,Imobiliária 9,Sim,01 - Contato,Perdido,,2021-04-20 15:12:08,Tipo C,2021-04-30 14:42:01,2021-04-19
2021-04-12 15:24:57,Imobiliária 11,Não,05 - Acompanhamento,Perdido,,2021-07-23 15:57:04,Tipo D,2021-07-23 15:57:05,2021-04-29
2021-04-12 17:11:33,Imobiliária 40,Sim,01 - Contato,Perdido,,2021-05-04 14:48:58,Tipo D,2021-05-04 14:48:58,2021-04-29
2021-04-13 15:12:16,Imobiliária 22,Sim,05 - Acompanhamento,Perdido,,2021-04-27 14:50:24,Tipo D,2021-04-30 14:25:01,2021-04-26
2021-04-13 15:19:54,Imobiliária 40,Não,03 - Visita Agendada,Perdido,,2021-04-13 15:21:56,Tipo D,2021-04-30 14:31:45,
2021-04-13 15:25:07,Imobiliária 40,Sim,05 - Acompanhamento,Perdido,,2021-07-23 15:56:43,Tipo D,2021-07-23 15:56:43,2021-04-28
2021-04-13 16:46:02,Imobiliária 32,Sim,03 - Visita Agendada,Perdido,,2021-04-14 13:38:09,Tipo D,2021-04-30 14:18:55,2021-04-14
2021-04-13 16:48:17,Imobiliária 32,Não,05 - Acompanhamento,Perdido,,2021-04-26 17:02:17,Tipo D,2021-04-30 14:19:07,2021-04-26
2021-04-14 10:01:03,Imobiliária 40,Não,01 - Contato,Perdido,,2021-04-26 08:46:38,Tipo D,2021-04-30 14:33:28,2021-04-21
2021-04-14 15:47:54,Imobiliária 40,Sim,05 - Acompanhamento,Perdido,,2021-07-23 15:57:21,Tipo D,2021-07-23 15:57:22,2021-04-29
2021-04-14 16:57:21,Imobiliária 1,Sim,01 - Contato,Perdido,,2021-04-15 14:20:51,Tipo D,2021-04-30 14:42:15,
2021-04-14 17:03:04,Imobiliária 1,Não,02 - Ta quente!,Perdido,,2021-07-19 09:28:41,Tipo D,2021-07-19 09:28:41,2021-05-03
2021-04-15 09:05:04,Imobiliária 78,Sim,05 - Acompanhamento,Perdido,,2021-07-23 16:00:52,Tipo C,2021-07-23 16:00:53,2021-05-04
2021-04-15 09:38:12,Imobiliária 57,Sim,03 - Visita Agendada,Perdido,,2021-04-26 17:10:57,Tipo D,2021-04-30 14:40:40,2021-04-26
2021-04-15 11:03:36,Imobiliária 17,Não,05 - Acompanhamento,Perdido,,2021-05-04 17:55:59,Tipo D,2021-05-04 17:55:59,2021-04-26
2021-04-15 14:17:47,Imobiliária 8,Sim,05 - Acompanhamento,Perdido,,2021-07-23 15:56:23,Tipo A,2021-07-23 15:56:24,2021-05-03
2021-04-15 14:43:47,Imobiliária 32,Sim,05 - Acompanhamento,Perdido,,2021-07-23 15:58:35,Tipo D,2021-07-23 15:58:36,2021-04-29
2021-04-16 11:28:57,Imobiliária 65,Sim,04 - Pós-visita,Perdido,,2021-04-17 10:35:08,Tipo D,2021-04-30 14:45:27,2021-04-19
2021-04-16 15:12:35,Imobiliária 31,Sim,04 - Pós-visita,Perdido,,2021-04-19 09:31:53,Tipo D,2021-04-30 14:42:34,2021-04-19
2021-04-16 15:16:11,Imobiliária 31,Não,04 - Pós-visita,Perdido,,2021-04-19 09:32:40,Tipo D,2021-04-30 14:42:41,2021-04-19
2021-04-16 15:18:35,Imobiliária 31,Não,04 - Pós-visita,Perdido,,2021-04-19 09:31:07,Tipo D,2021-04-30 14:42:47,2021-04-19
2021-04-16 15:33:26,Imobiliária 32,Sim,07 - Negociação,Ganho,2021-06-09 08:54:28,,Tipo D,2021-06-09 08:54:28,2021-05-06
2021-04-17 10:35:45,Imobiliária 65,Não,07 - Negociação,Ganho,2021-04-26 10:08:08,,Tipo D,2021-04-30 14:45:34,2021-04-26
2021-04-19 11:44:51,Imobiliária 32,Sim,04 - Pós-visita,Perdido,,2021-04-20 15:10:30,Tipo D,2021-04-30 14:19:40,2021-04-20
2021-04-19 13:54:56,Imobiliária 40,Sim,05 - Acompanhamento,Perdido,,2021-05-04 17:56:27,Tipo D,2021-05-04 17:56:27,2021-05-03
2021-04-20 17:39:45,Imobiliária 76,Não,03 - Visita Agendada,Perdido,,2021-04-22 14:07:56,Tipo A,2021-04-30 14:40:57,2021-04-22
2021-04-20 17:41:51,Imobiliária 76,Não,05 - Acompanhamento,Perdido,,2021-04-29 15:23:23,Tipo A,2021-04-30 14:41:04,2021-04-30
2021-04-20 17:43:17,Imobiliária 76,Não,03 - Visita Agendada,Perdido,,2021-04-22 14:09:33,Tipo A,2021-04-30 14:41:14,2021-04-22
2021-04-20 17:45:54,Imobiliária 76,Não,03 - Visita Agendada,Perdido,,2021-04-22 14:10:09,Tipo A,2021-04-30 14:41:22,2021-04-22
2021-04-20 17:50:39,Imobiliária 43,Sim,05 - Acompanhamento,Perdido,,2021-07-23 16:03:53,Tipo D,2021-07-23 16:03:54,2021-05-03
2021-04-20 17:53:19,Imobiliária 43,Não,05 - Acompanhamento,Perdido,,2021-04-23 13:42:25,Tipo D,2021-07-23 14:07:36,2021-04-23
2021-04-20 17:55:58,Imobiliária 5,Sim,01 - Contato,Perdido,,2021-04-27 10:35:39,Tipo C,2021-04-30 14:58:28,2021-04-26
2021-04-20 18:13:06,Imobiliária 22,Sim,03 - Visita Agendada,Perdido,,2021-04-23 13:23:39,Tipo D,2021-04-30 14:25:15,
2021-04-20 18:14:46,Imobiliária 22,Não,05 - Acompanhamento,Perdido,,2021-07-23 16:00:34,Tipo D,2021-07-23 16:00:35,2021-04-30
2021-04-20 18:16:07,Imobiliária 22,Não,03 - Visita Agendada,Perdido,,2021-04-28 14:42:23,Tipo D,2021-04-30 14:25:38,2021-04-28
2021-04-23 09:50:18,Imobiliária 13,Sim,05 - Acompanhamento,Perdido,,2021-07-23 15:56:05,Tipo D,2021-07-23 15:56:05,2021-05-03
2021-04-23 10:01:23,Imobiliária 26,Sim,05 - Acompanhamento,Perdido,,2021-05-04 17:57:02,Tipo B,2021-05-04 17:57:02,2021-04-26
2021-04-24 08:47:27,Imobiliária 22,Sim,04 - Pós-visita,Perdido,,2021-04-26 09:52:23,Tipo D,2021-04-30 14:25:49,2021-04-26
2021-04-24 08:50:26,Imobiliária 22,Não,04 - Pós-visita,Perdido,,2021-04-26 09:53:01,Tipo D,2021-04-30 14:25:59,2021-04-26
2021-04-24 08:52:35,Imobiliária 22,Não,05 - Acompanhamento,Perdido,,2021-07-23 16:00:17,Tipo D,2021-07-23 16:00:18,2021-05-03
2021-04-24 08:54:27,Imobiliária 22,Não,04 - Pós-visita,Perdido,,2021-04-26 09:55:24,Tipo D,2021-04-30 14:28:51,2021-04-26
2021-04-24 08:56:24,Imobiliária 22,Sim,04 - Pós-visita,Perdido,,2021-04-24 09:02:28,Tipo D,2021-04-30 14:29:01,
2021-04-24 15:40:53,Imobiliária 25,Sim,05 - Acompanhamento,Perdido,,2021-04-26 16:56:50,Tipo D,2021-04-30 14:54:12,2021-04-26
2021-04-24 18:05:45,Imobiliária 31,Sim,04 - Pós-visita,Perdido,,2021-04-26 10:14:28,Tipo D,2021-04-30 14:42:53,2021-04-26
2021-04-24 18:07:59,Imobiliária 31,Não,04 - Pós-visita,Perdido,,2021-04-26 10:14:52,Tipo D,2021-04-30 14:43:00,2021-04-26
2021-04-24 18:10:15,Imobiliária 31,Não,04 - Pós-visita,Perdido,,2021-04-26 10:15:18,Tipo D,2021-04-30 14:43:11,2021-04-26
2021-04-24 18:15:23,Imobiliária 31,Não,04 - Pós-visita,Perdido,,2021-04-26 17:08:46,Tipo D,2021-07-22 08:26:39,2021-04-26
2021-04-24 18:17:22,Imobiliária 31,Não,04 - Pós-visita,Perdido,,2021-04-26 17:09:01,Tipo D,2021-07-22 08:26:39,2021-04-26
2021-04-24 18:19:22,Imobiliária 31,Sim,05 - Acompanhamento,Perdido,,2021-05-03 11:07:44,Tipo D,2021-05-20 11:57:02,2021-05-03
2021-04-24 18:21:31,Imobiliária 5,Sim,03 - Visita Agendada,Perdido,,2021-04-27 10:42:26,Tipo C,2021-04-30 14:58:19,
2021-04-26 11:24:48,Imobiliária 38,Sim,07 - Negociação,Ganho,2021-05-17 09:21:28,,Tipo C,2021-05-17 09:21:28,2021-05-04
2021-04-27 10:32:05,Imobiliária 5,Não,04 - Pós-visita,Perdido,,2021-04-27 14:53:07,Tipo C,2021-07-22 08:26:39,2021-04-27
2021-04-27 16:29:06,Imobiliária 31,Sim,03 - Visita Agendada,Perdido,,2021-04-30 15:12:29,Tipo D,2021-04-30 15:12:29,2021-04-30
2021-04-28 15:47:00,Imobiliária 40,Não,05 - Acompanhamento,Perdido,,2021-07-23 16:03:02,Tipo D,2021-07-23 16:03:03,2021-05-07
2021-04-28 15:52:36,Imobiliária 8,Não,04 - Pós-visita,Perdido,,2021-04-29 15:51:23,Tipo A,2021-07-22 08:26:39,2021-04-29
2021-04-28 15:54:49,Imobiliária 8,Não,05 - Acompanhamento,Perdido,,2021-07-23 15:59:09,Tipo A,2021-07-23 15:59:11,2021-04-29
2021-04-28 15:57:06,Imobiliária 38,Não,03 - Visita Agendada,Perdido,,2021-04-28 16:39:09,Tipo C,2021-04-30 14:31:05,
2021-04-29 09:37:22,Imobiliária 78,Sim,04 - Pós-visita,Perdido,,2021-05-03 11:05:48,Tipo C,2021-05-03 11:05:48,2021-04-30
2021-04-29 12:24:44,Imobiliária 78,Não,04 - Pós-visita,Perdido,,2021-04-30 15:28:37,Tipo C,2021-04-30 15:28:37,2021-04-30
2021-04-29 12:26:37,Imobiliária 78,Não,04 - Pós-visita,Perdido,,2021-04-30 15:28:55,Tipo C,2021-04-30 15:28:55,2021-04-30
2021-04-29 15:42:25,Imobiliária 32,Sim,05 - Acompanhamento,Perdido,,2021-07-23 15:59:42,Tipo D,2021-07-23 15:59:42,2021-05-03
2021-04-29 15:44:44,Imobiliária 31,Não,05 - Acompanhamento,Perdido,,2021-07-23 15:59:26,Tipo D,2021-07-23 15:59:26,2021-05-03
2021-04-30 10:10:52,Imobiliária 26,Não,05 - Acompanhamento,Perdido,,2021-07-23 15:58:06,Tipo B,2021-07-23 15:58:07,2021-05-03
2021-04-30 10:22:46,Imobiliária 22,Não,05 - Acompanhamento,Perdido,,2021-07-23 15:58:50,Tipo D,2021-07-23 15:58:51,2021-05-04
2021-04-30 14:12:02,Imobiliária 31,Não,05 - Acompanhamento,Perdido,,2021-07-23 16:00:00,Tipo D,2021-07-23 16:00:01,2021-05-03
2021-05-05 10:05:34,Imobiliária 40,,01 - Contato,Perdido,,2021-05-18 08:30:57,Tipo D,2021-05-18 08:30:58,2021-05-17
2021-05-05 10:06:15,Imobiliária 41,,01 - Contato,Perdido,,2021-10-04 11:00:50,Tipo D,2021-10-04 11:00:51,2021-09-24
2021-05-05 10:06:44,Imobiliária 42,Não,05 - Acompanhamento,Perdido,,2021-05-24 09:24:56,Tipo D,2021-05-24 09:24:57,2021-05-24
2021-05-05 10:42:43,Imobiliária 52,,01 - Contato,Perdido,,2021-05-27 12:17:02,Tipo D,2021-07-14 16:18:00,2021-07-16
2021-05-05 11:05:09,Imobiliária 7,,01 - Contato,Perdido,,2021-05-06 09:30:58,Tipo D,2021-05-06 09:30:58,
2021-05-05 11:13:11,Imobiliária 43,,01 - Contato,Em aberto,,,Tipo D,2021-10-13 16:54:33,2021-07-30
2021-05-05 11:14:03,Imobiliária 44,,01 - Contato,Em aberto,,,Tipo D,2021-10-01 10:15:51,2021-08-04
2021-05-05 11:14:22,Imobiliária 45,,01 - Contato,Perdido,,2021-07-07 15:28:46,Tipo D,2021-07-19 13:35:10,2021-11-25
2021-05-05 11:14:39,Imobiliária 46,,01 - Contato,Perdido,,2021-09-17 15:31:56,Tipo D,2021-09-17 15:31:56,2021-07-30
2021-05-05 11:14:58,Imobiliária 47,,01 - Contato,Perdido,,2021-07-07 15:29:02,Tipo D,2021-07-07 15:29:03,2021-06-21
2021-05-05 11:15:19,Imobiliária 50,,01 - Contato,Em aberto,,,Tipo D,2021-10-11 11:22:37,2021-08-03
2021-05-05 11:15:40,Imobiliária 51,,01 - Contato,Perdido,,2021-09-02 17:06:54,Tipo D,2021-09-02 17:06:54,2021-06-23
2021-05-05 11:15:44,Imobiliária 21,,01 - Contato,Perdido,,2021-06-16 14:42:43,Tipo D,2021-06-16 14:42:43,2021-05-28
2021-05-05 11:36:35,Imobiliária 11,Não,05 - Acompanhamento,Perdido,,2021-05-14 17:34:39,Tipo D,2021-05-14 17:34:40,2021-05-12
2021-05-05 11:36:52,Imobiliária 22,,01 - Contato,Perdido,,2021-05-17 09:34:30,Tipo D,2021-05-17 09:34:30,2021-05-10
2021-05-05 11:41:59,Imobiliária 29,,01 - Contato,Perdido,,2021-06-16 14:45:22,Tipo D,2021-06-16 14:45:22,2021-05-28
2021-05-05 11:42:36,Imobiliária 30,,01 - Contato,Perdido,,2021-06-16 14:44:34,Tipo D,2021-06-16 14:44:35,2021-05-28
2021-05-05 11:43:09,Imobiliária 31,,01 - Contato,Perdido,,2021-05-06 09:57:35,Tipo D,2021-05-07 08:30:18,
2021-05-05 11:43:34,Imobiliária 32,,01 - Contato,Perdido,,2021-05-07 16:47:41,Tipo D,2021-05-07 16:47:41,2021-05-13
2021-05-05 11:43:58,Imobiliária 34,,01 - Contato,Perdido,,2021-06-16 14:42:17,Tipo D,2021-06-16 14:42:18,2021-05-28
2021-05-05 11:44:19,Imobiliária 13,,01 - Contato,Perdido,,2021-05-06 09:31:53,Tipo D,2021-05-07 16:55:16,
2021-05-05 11:44:21,Imobiliária 35,,01 - Contato,Perdido,,2021-05-17 09:24:44,Tipo D,2021-05-17 09:24:44,2021-05-14
2021-05-05 11:44:48,Imobiliária 39,,01 - Contato,Perdido,,2021-06-16 14:41:57,Tipo D,2021-06-16 14:41:57,2021-05-28
2021-05-05 11:46:20,Imobiliária 14,,01 - Contato,Perdido,,2021-06-01 16:47:56,Tipo D,2021-06-01 16:47:57,2021-05-21
2021-05-05 11:47:49,Imobiliária 15,,01 - Contato,Perdido,,2021-05-17 15:18:35,Tipo D,2021-05-17 15:18:36,
2021-05-05 11:56:33,Imobiliária 63,,01 - Contato,Em aberto,,,Tipo D,2021-09-28 11:38:39,2021-09-27
2021-05-05 11:56:56,Imobiliária 16,,01 - Contato,Perdido,,2021-05-14 17:19:16,Tipo D,2021-08-01 19:27:22,2021-05-14
2021-05-05 13:25:17,Imobiliária 17,Não,05 - Acompanhamento,Perdido,,2021-05-24 15:20:02,Tipo D,2021-05-24 15:20:02,2021-05-20
2021-05-05 13:35:31,Imobiliária 18,Sim,05 - Acompanhamento,Perdido,,2021-05-24 14:48:56,Tipo D,2021-05-24 14:48:56,2021-05-17
2021-05-05 14:08:14,Imobiliária 7,Não,05 - Acompanhamento,Perdido,,2021-05-14 14:40:25,Tipo D,2021-07-13 16:22:51,2021-05-12
2021-05-05 14:12:55,Imobiliária 13,Sim,05 - Acompanhamento,Perdido,,2021-05-14 17:51:13,Tipo D,2021-05-14 17:51:13,2021-05-11
2021-05-05 14:40:42,Imobiliária 19,,01 - Contato,Perdido,,2021-05-17 15:20:10,Tipo D,2021-05-17 15:20:11,2021-05-14
2021-05-05 15:20:57,Imobiliária 36,,01 - Contato,Perdido,,2021-05-18 08:03:04,Tipo C,2021-05-18 08:03:04,2021-05-14
2021-05-05 15:32:11,Imobiliária 78,Sim,03 - Visita Agendada,Perdido,,2021-05-11 10:00:07,Tipo C,2021-05-11 10:00:07,2021-05-11
2021-05-05 15:32:42,Imobiliária 2,,01 - Contato,Perdido,,2021-05-24 08:17:00,Tipo B,2021-05-24 08:17:00,2021-05-17
2021-05-05 15:33:04,Imobiliária 3,,01 - Contato,Perdido,,2021-05-20 09:37:23,Tipo B,2021-05-20 09:37:23,2021-05-13
2021-05-05 15:33:34,Imobiliária 4,,01 - Contato,Perdido,,2021-06-16 14:43:11,Tipo B,2021-06-16 14:43:12,2021-05-31
2021-05-05 15:39:40,Imobiliária 23,,01 - Contato,Perdido,,2021-09-06 10:20:40,Tipo B,2021-09-06 10:20:40,2021-09-03
2021-05-05 15:41:59,Imobiliária 12,,01 - Contato,Perdido,,2021-09-03 16:56:20,Tipo B,2021-09-03 16:56:21,2021-06-18
2021-05-05 15:43:50,Imobiliária 76,,01 - Contato,Perdido,,2021-05-13 16:21:08,Tipo A,2021-05-13 16:21:08,2021-05-13
2021-05-05 15:48:35,Imobiliária 79,,01 - Contato,Perdido,,2021-05-31 14:57:53,Tipo A,2021-07-28 17:04:34,2021-05-28
2021-05-05 16:05:44,Imobiliária 24,,01 - Contato,Perdido,,2021-07-07 15:28:31,Tipo B,2021-07-07 15:28:31,2021-05-27
2021-05-05 16:09:15,Imobiliária 26,,01 - Contato,Em aberto,,,Tipo B,2021-10-13 14:46:28,2021-07-19
2021-05-05 16:50:50,Imobiliária 8,Não,01 - Contato,Perdido,,2021-05-06 10:37:48,Tipo A,2021-08-04 08:06:58,2021-08-04
2021-05-05 17:29:05,Imobiliária 18,Sim,04 - Pós-visita,Perdido,,2021-05-07 09:53:47,Tipo D,2021-07-13 16:22:50,2021-05-10
2021-05-05 17:29:48,Imobiliária 18,Sim,04 - Pós-visita,Perdido,,2021-05-07 09:54:04,Tipo D,2021-07-13 16:22:50,2021-05-10
2021-05-06 09:00:08,Imobiliária 8,Não,05 - Acompanhamento,Perdido,,2021-05-20 12:39:21,Tipo A,2021-08-16 17:12:38,2021-08-04
2021-05-06 09:12:45,Imobiliária 18,Não,05 - Acompanhamento,Perdido,,2021-05-11 09:52:31,Tipo D,2021-05-11 09:52:31,2021-05-10
2021-05-06 09:41:39,Imobiliária 76,Não,01 - Contato,Perdido,,2021-05-13 16:24:02,Tipo A,2021-08-06 07:45:24,2021-08-04
2021-05-06 10:35:45,Imobiliária 8,Sim,05 - Acompanhamento,Perdido,,2021-05-25 10:28:13,Tipo A,2021-08-05 09:22:16,2021-05-24
2021-05-06 14:07:32,Imobiliária 78,Sim,04 - Pós-visita,Perdido,,2021-05-19 12:52:47,Tipo C,2021-05-19 12:52:47,2021-05-21
2021-05-06 14:09:49,Imobiliária 60,,01 - Contato,Perdido,,2021-09-06 17:04:37,Tipo D,2021-09-06 17:04:37,2021-08-16
2021-05-06 14:16:58,Imobiliária 65,,01 - Contato,Em aberto,,,Tipo D,2021-09-28 11:38:14,2021-09-27
2021-05-06 14:22:33,Imobiliária 64,Não,04 - Pós-visita,Perdido,,2021-06-04 14:49:22,Tipo D,2021-07-12 08:29:32,2021-06-07
2021-05-06 14:27:21,Imobiliária 53,,01 - Contato,Perdido,,2021-05-25 12:18:58,Tipo D,2021-09-02 15:04:46,2021-08-13
2021-05-06 14:35:59,Imobiliária 63,Sim,01 - Contato,Perdido,,2021-05-06 14:36:26,Tipo D,2021-05-06 14:36:26,
2021-05-06 14:40:42,Imobiliária 61,Não,04 - Pós-visita,Perdido,,2021-05-25 08:52:08,Tipo D,2021-07-28 09:46:13,2021-07-16
2021-05-06 14:49:37,Imobiliária 31,Sim,04 - Pós-visita,Perdido,,2021-05-07 10:03:19,Tipo D,2021-08-05 09:32:15,2021-08-04
2021-05-06 14:49:42,Imobiliária 36,Não,03 - Visita Agendada,Perdido,,2021-05-06 15:12:22,Tipo C,2021-05-20 15:25:32,2021-05-07
2021-05-06 14:51:24,Imobiliária 31,Sim,04 - Pós-visita,Perdido,,2021-05-07 10:01:11,Tipo D,2021-05-20 17:14:03,2021-05-07
2021-05-06 14:53:17,Imobiliária 31,Sim,04 - Pós-visita,Perdido,,2021-05-07 09:58:26,Tipo D,2021-08-04 09:01:54,2021-08-04
2021-05-06 14:54:43,Imobiliária 31,Sim,04 - Pós-visita,Perdido,,2021-05-25 08:51:00,Tipo D,2021-05-25 08:51:00,2021-05-24
2021-05-06 15:01:22,Imobiliária 57,Sim,01 - Contato,Perdido,,2021-05-25 17:39:43,Tipo D,2021-05-25 17:39:43,2021-05-25
2021-05-06 15:28:29,Imobiliária 41,Sim,01 - Contato,Perdido,,2021-09-15 16:00:33,Tipo D,2021-10-09 10:51:48,2021-09-27
2021-05-06 15:37:52,Imobiliária 18,,01 - Contato,Perdido,,2021-07-15 17:29:22,Tipo D,2021-07-15 17:29:23,2021-06-09
2021-05-07 09:11:10,Imobiliária 22,Não,03 - Visita Agendada,Perdido,,2021-05-31 09:51:40,Tipo D,2021-05-31 09:51:41,2021-05-31
2021-05-07 15:08:32,Imobiliária 22,Sim,03 - Visita Agendada,Perdido,,2021-05-13 12:14:01,Tipo D,2021-05-13 12:14:01,2021-05-14
2021-05-07 15:44:09,Imobiliária 40,Sim,01 - Contato,Perdido,,2021-07-15 12:03:03,Tipo D,2021-07-15 12:03:04,2021-06-09
2021-05-07 16:15:14,Imobiliária 31,Não,04 - Pós-visita,Perdido,,2021-05-12 08:27:56,Tipo D,2021-05-12 08:27:56,2021-05-11
2021-05-07 16:16:49,Imobiliária 31,Não,04 - Pós-visita,Perdido,,2021-05-10 11:41:21,Tipo D,2021-05-10 11:41:21,2021-05-10
2021-05-07 16:18:26,Imobiliária 31,Não,04 - Pós-visita,Perdido,,2021-05-12 08:27:30,Tipo D,2021-05-12 08:27:30,2021-05-11
2021-05-07 16:49:24,Imobiliária 32,,01 - Contato,Perdido,,2021-06-16 14:44:10,Tipo D,2021-06-16 14:44:10,2021-05-28
2021-05-07 17:18:07,Imobiliária 36,Sim,05 - Acompanhamento,Perdido,,2021-05-17 15:01:55,Tipo C,2021-05-17 15:02:07,2021-05-14
2021-05-07 17:50:10,Imobiliária 78,Sim,05 - Acompanhamento,Perdido,,2021-07-23 16:02:00,Tipo C,2021-07-23 16:02:00,2021-05-31
2021-05-10 09:58:55,Imobiliária 13,Não,04 - Pós-visita,Perdido,,2021-05-11 09:42:48,Tipo D,2021-07-13 16:22:56,2021-05-11
